weather_condition,distance_km,delivery_time_hours,time_diff_bin
clear,297.0,8,Ligeramente antes
cold,89.6,2,Ligeramente antes
rainy,273.5,10,Mucho antes
cold,269.7,6,Mucho antes
foggy,256.7,9,Mucho antes
rainy,48.4,4,Ligeramente tarde
clear,198.3,6,Mucho antes
cold,114.6,4,Mucho antes
hot,142.4,5,Mucho antes
foggy,47.1,3,Mucho antes
cold,293.2,5,Mucho antes
cold,80.4,3,Mucho antes
rainy,257.7,8,Mucho antes
stormy,19.0,6,Mucho tarde
stormy,237.9,12,Mucho antes
hot,239.3,8,Ligeramente tarde
stormy,79.0,10,Mucho antes
rainy,170.7,11,Mucho antes
rainy,90.0,4,Mucho antes
rainy,64.0,7,Mucho tarde
foggy,185.9,6,Mucho antes
stormy,217.9,9,Mucho antes
cold,214.1,6,Mucho antes
clear,251.7,8,Mucho antes
foggy,214.9,7,Mucho antes
stormy,115.4,6,Mucho antes
foggy,293.8,9,Ligeramente tarde
clear,286.8,8,Mucho antes
hot,136.1,3,Ligeramente antes
rainy,291.4,13,Mucho antes
hot,295.0,9,Mucho antes
rainy,223.3,10,Ligeramente tarde
hot,242.5,10,Mucho tarde
rainy,35.1,8,Mucho antes
stormy,81.8,5,Ligeramente tarde
clear,37.6,3,Mucho antes
rainy,46.8,5,Mucho tarde
hot,233.4,5,Mucho antes
rainy,62.2,7,Mucho antes
foggy,114.0,6,Mucho antes
foggy,131.5,6,Mucho antes
rainy,21.4,3,Ligeramente tarde
stormy,258.5,7,Mucho antes
rainy,253.9,9,Mucho antes
stormy,6.7,6,Mucho antes
hot,178.1,5,Mucho antes
hot,180.0,4,Mucho antes
rainy,187.9,11,Mucho antes
hot,78.3,4,Ligeramente tarde
hot,51.6,2,Ligeramente antes
stormy,26.9,5,Mucho antes
hot,216.7,7,Ligeramente tarde
foggy,148.2,5,Mucho antes
clear,184.2,5,Mucho antes
stormy,167.7,7,Ligeramente antes
cold,197.7,9,Mucho antes
foggy,211.9,7,Mucho antes
stormy,64.3,6,Mucho antes
hot,206.7,3,Mucho antes
cold,83.5,3,Mucho antes
foggy,9.3,3,Mucho antes
rainy,245.9,12,Mucho antes
stormy,225.7,8,Ligeramente tarde
hot,226.0,7,Ligeramente tarde
hot,113.3,4,Mucho antes
stormy,232.3,12,Mucho antes
cold,87.7,4,Ligeramente tarde
rainy,90.1,6,Mucho antes
rainy,110.4,6,Ligeramente tarde
cold,217.3,6,Mucho antes
rainy,75.2,6,Mucho antes
hot,23.2,2,Mucho antes
rainy,78.5,8,Mucho tarde
hot,138.3,8,Mucho tarde
cold,96.4,3,Mucho antes
cold,216.2,11,Mucho antes
stormy,24.1,7,Mucho tarde
rainy,197.1,13,Mucho antes
foggy,94.8,2,Mucho antes
hot,56.0,3,Ligeramente antes
stormy,70.7,8,Ligeramente antes
rainy,60.4,6,Mucho antes
stormy,258.4,9,Ligeramente tarde
cold,89.3,4,Mucho antes
clear,244.0,7,Mucho antes
stormy,87.8,8,Mucho antes
stormy,3.6,3,Mucho antes
cold,3.6,0,Mucho antes
rainy,111.0,9,Mucho antes
rainy,256.4,11,Mucho tarde
foggy,177.9,7,Ligeramente antes
rainy,204.2,9,Mucho antes
cold,125.0,4,Mucho antes
hot,83.3,4,Mucho antes
foggy,193.2,7,Mucho antes
foggy,174.3,10,Mucho antes
clear,11.4,1,Mucho antes
clear,166.4,6,Ligeramente tarde
stormy,189.6,11,Mucho antes
stormy,111.2,6,Ligeramente tarde
hot,103.2,4,Mucho antes
clear,236.4,9,Mucho antes
clear,111.9,5,Mucho antes
stormy,86.6,8,Mucho antes
clear,235.6,5,Mucho antes
cold,295.5,6,Mucho antes
foggy,56.3,5,Mucho antes
stormy,114.2,6,Mucho antes
hot,3.6,2,Mucho antes
stormy,146.2,9,Ligeramente tarde
clear,85.6,3,Mucho antes
rainy,247.9,9,Mucho tarde
foggy,274.8,9,Mucho antes
clear,35.7,3,Mucho antes
stormy,259.3,8,Ligeramente tarde
clear,65.3,4,Mucho antes
clear,93.1,2,Ligeramente antes
hot,265.8,9,Mucho antes
clear,110.2,4,Mucho antes
clear,6.0,1,Mucho antes
foggy,16.5,2,Mucho antes
cold,102.0,4,Mucho antes
rainy,265.4,13,Mucho tarde
foggy,27.5,2,Mucho antes
hot,59.5,2,Mucho antes
cold,290.2,6,Ligeramente antes
rainy,124.0,8,Mucho antes
clear,261.9,9,Mucho antes
rainy,115.6,8,Mucho antes
hot,156.0,2,Mucho antes
foggy,284.1,9,Mucho antes
cold,287.0,10,Ligeramente tarde
foggy,50.5,2,Mucho antes
foggy,203.3,7,Mucho antes
hot,127.8,2,Mucho antes
cold,45.8,1,Mucho antes
hot,8.7,0,Mucho antes
rainy,152.8,6,Mucho antes
rainy,29.0,5,Mucho antes
clear,281.6,8,Mucho antes
stormy,75.7,8,Ligeramente antes
cold,132.5,3,Mucho antes
rainy,218.2,10,Mucho antes
rainy,152.8,8,Mucho tarde
cold,113.8,4,Mucho antes
clear,189.3,7,Mucho antes
rainy,60.1,5,Mucho antes
foggy,147.7,6,Mucho antes
cold,289.0,6,Mucho antes
cold,235.6,7,Ligeramente tarde
cold,101.1,4,Mucho antes
cold,273.9,6,Mucho antes
clear,262.6,4,Mucho antes
clear,82.2,2,Mucho antes
cold,280.3,7,Ligeramente antes
foggy,146.1,8,Ligeramente antes
clear,279.9,12,Mucho tarde
stormy,165.4,11,Mucho tarde
cold,29.9,2,Mucho antes
hot,42.6,1,Mucho antes
foggy,149.9,10,Mucho antes
rainy,8.4,4,Mucho antes
hot,230.8,6,Mucho antes
clear,93.0,2,Ligeramente antes
clear,10.4,1,Mucho antes
hot,194.9,4,Mucho antes
rainy,182.1,11,Mucho tarde
clear,38.8,3,Mucho antes
cold,55.2,1,Mucho antes
stormy,223.3,12,Mucho tarde
hot,46.2,2,Ligeramente antes
hot,3.6,1,Mucho antes
hot,297.1,5,Mucho antes
hot,87.8,3,Ligeramente antes
hot,267.4,9,Ligeramente tarde
stormy,124.8,10,Mucho antes
clear,288.9,6,Ligeramente antes
hot,129.5,4,Mucho antes
foggy,225.0,11,Mucho tarde
stormy,289.7,14,Mucho antes
rainy,85.4,7,Mucho antes
hot,9.9,0,Mucho antes
hot,135.1,4,Mucho antes
stormy,228.6,9,Mucho antes
rainy,169.6,9,Mucho tarde
foggy,250.7,10,Mucho tarde
rainy,80.7,7,Mucho antes
stormy,21.3,7,Mucho antes
clear,67.1,2,Mucho antes
foggy,69.4,5,Mucho antes
cold,101.2,2,Mucho antes
rainy,94.2,5,Mucho antes
foggy,71.0,5,Mucho antes
foggy,37.4,3,Mucho antes
cold,157.0,3,Mucho antes
cold,213.7,5,Mucho antes
cold,272.6,8,Ligeramente tarde
stormy,83.5,7,Mucho tarde
foggy,198.5,4,Ligeramente antes
hot,158.7,6,Ligeramente tarde
clear,265.3,5,Mucho antes
stormy,208.8,9,Mucho tarde
rainy,55.7,3,Ligeramente antes
foggy,80.6,4,Mucho antes
stormy,187.7,13,Mucho tarde
foggy,225.6,9,Mucho antes
rainy,24.5,5,Mucho tarde
rainy,194.3,6,Mucho antes
foggy,52.0,6,Mucho tarde
clear,282.9,8,Ligeramente antes
cold,289.2,9,Ligeramente tarde
cold,257.9,5,Mucho antes
hot,258.3,12,Mucho tarde
rainy,288.4,9,Ligeramente tarde
hot,86.5,3,Ligeramente antes
stormy,157.3,9,Ligeramente tarde
rainy,41.0,6,Mucho antes
foggy,137.4,7,Mucho antes
clear,32.3,1,Mucho antes
clear,207.8,6,Ligeramente antes
foggy,23.6,3,Mucho antes
clear,258.0,8,Mucho antes
cold,255.6,7,Ligeramente antes
cold,289.7,5,Mucho antes
rainy,9.1,5,Mucho tarde
foggy,245.8,5,Mucho antes
hot,88.6,3,Mucho antes
rainy,59.6,7,Mucho antes
hot,225.4,5,Ligeramente antes
clear,36.9,2,Ligeramente antes
stormy,262.9,16,Mucho tarde
clear,262.7,5,Mucho antes
hot,167.2,7,Mucho antes
hot,127.4,3,Ligeramente antes
foggy,267.0,11,Mucho antes
cold,214.0,7,Ligeramente antes
stormy,10.6,5,Mucho antes
rainy,124.2,7,Ligeramente antes
stormy,129.5,7,Mucho antes
foggy,257.0,7,Ligeramente antes
hot,264.9,9,Mucho antes
stormy,163.5,8,Mucho antes
hot,34.6,3,Mucho antes
rainy,183.1,13,Mucho antes
clear,138.7,3,Mucho antes
